,strain,species,0,1,2,3,4,detailed_species
0,Acapulco Gold,sativa,Acapulco,Gold,,,,sativa
1,Alaskan Thunder Fuck,sativa,Alaskan,Thunder,Fuck,,,sativa
2,Alice in Wonderland,sativa,Alice,in,Wonderland,,,sativa
3,Allen Wrench,sativa,Allen,Wrench,,,,sativa
4,Aloha,sativa,Aloha,,,,,sativa
5,Amnesia,sativa,Amnesia,,,,,sativa
6,Amnesia Haze,sativa,Amnesia,Haze,,,,sativa
7,Arabian Gold,sativa,Arabian,Gold,,,,sativa
8,Arjan's Strawberry Haze,sativa,Arjan's,Strawberry,Haze,,,sativa
9,Asian Fantasy,sativa,Asian,Fantasy,,,,sativa
10,Bay 11,sativa,Bay,11,,,,sativa
11,Berkely,sativa,Berkely,,,,,sativa
12,Black Diesel,sativa,Black,Diesel,,,,sativa
13,Blue Bayou,sativa,Blue,Bayou,,,,sativa
14,Blue Satellite,sativa,Blue,Satellite,,,,sativa
15,Brainstorm Haze,sativa,Brainstorm,Haze,,,,sativa
16,Candy Jack,sativa,Candy,Jack,,,,sativa
17,Cannalope Haze,sativa,Cannalope,Haze,,,,sativa
18,Cat Piss,sativa,Cat,Piss,,,,sativa
19,Charlotte's Web,sativa,Charlotte's,Web,,,,sativa
20,Chocolope,sativa,Chocolope,,,,,sativa
21,Cracker Jack,sativa,Cracker,Jack,,,,sativa
22,Crystal Coma,sativa,Crystal,Coma,,,,sativa
23,Django,sativa,Django,,,,,sativa
24,Double Diesel,sativa,Double,Diesel,,,,sativa
25,Dr. Grinspoon,sativa,Dr.,Grinspoon,,,,sativa
26,Durban Poison,sativa,Durban,Poison,,,,sativa
27,Dutch Dragon,sativa,Dutch,Dragon,,,,sativa
28,Dutch Hawaiian,sativa,Dutch,Hawaiian,,,,sativa
29,East Coast Sour Diesel,sativa,East,Coast,Sour,Diesel,,sativa
30,Fire Haze,sativa,Fire,Haze,,,,sativa
31,Frostbite,sativa,Frostbite,,,,,sativa
32,Ghost Train Haze,sativa,Ghost,Train,Haze,,,sativa
33,Goldwing,sativa,Goldwing,,,,,sativa
34,Grapefruit,sativa,Grapefruit,,,,,sativa
35,Green Candy,sativa,Green,Candy,,,,sativa
36,Green Crack,sativa,Green,Crack,,,,sativa
37,Green Crack Extreme,sativa,Green,Crack,Extreme,,,sativa
38,Green Goblin,sativa,Green,Goblin,,,,sativa
39,Green Haze,sativa,Green,Haze,,,,sativa
40,"G Stik ""Amarillo""",sativa,G,Stik,"""Amarillo""",,,sativa
41,"G Stik ""Rosado""",sativa,G,Stik,"""Rosado""",,,sativa
42,Hawaiian,sativa,Hawaiian,,,,,sativa
43,Hawaiian Diesel,sativa,Hawaiian,Diesel,,,,sativa
44,Hawaiian Sativa,sativa,Hawaiian,Sativa,,,,sativa
45,Hawaiian Snow,sativa,Hawaiian,Snow,,,,sativa
46,Haze,sativa,Haze,,,,,sativa
47,Haze Wreck,sativa,Haze,Wreck,,,,sativa
48,Hempstar,sativa,Hempstar,,,,,sativa
49,Hydro Green Crack,sativa,Hydro,Green,Crack,,,sativa
50,Island Sweet Skunk,sativa,Island,Sweet,Skunk,,,sativa
51,J-27,sativa,J-27,,,,,sativa
52,Jack Herer,sativa,Jack,Herer,,,,sativa
53,Jack Skellington,sativa,Jack,Skellington,,,,sativa
54,Jack Wreck,sativa,Jack,Wreck,,,,sativa
55,Jamaican Pearl,sativa,Jamaican,Pearl,,,,sativa
56,Jean Guy,sativa,Jean,Guy,,,,sativa
57,Johnny's Tonic,sativa,Johnny's,Tonic,,,,sativa
58,Kaboom,sativa,Kaboom,,,,,sativa
59,Kali Mist,sativa,Kali,Mist,,,,sativa
60,Killing Fields,sativa,Killing,Fields,,,,sativa
61,King's Bread,sativa,King's,Bread,,,,sativa
62,Lamb's Bread,sativa,Lamb's,Bread,,,,sativa
63,Laughing Buddha,sativa,Laughing,Buddha,,,,sativa
64,Lemon Haze,sativa,Lemon,Haze,,,,sativa
65,Lemon Jack,sativa,Lemon,Jack,,,,sativa
66,Lemon G,sativa,Lemon,G,,,,sativa
67,Lemon Sativa,sativa,Lemon,Sativa,,,,sativa
68,Lemon Thai,sativa,Lemon,Thai,,,,sativa
69,Mako Haze,sativa,Mako,Haze,,,,sativa
70,Malawi,sativa,Malawi,,,,,sativa
71,Mango Dream,sativa,Mango,Dream,,,,sativa
72,Maui,sativa,Maui,,,,,sativa
73,Maui Waui,sativa,Maui,Waui,,,,sativa
74,Mexican Sativa,sativa,Mexican,Sativa,,,,sativa
75,Moby Dick,sativa,Moby,Dick,,,,sativa
76,Mother's Finest,sativa,Mother's,Finest,,,,sativa
77,Nevil's Wreck,sativa,Nevil's,Wreck,,,,sativa
78,OCD,sativa,OCD,,,,,sativa
79,OG,sativa,OG,,,,,sativa
80,Outer Space,sativa,Outer,Space,,,,sativa
81,Panama Red,sativa,Panama,Red,,,,sativa
82,Pandora's Box,sativa,Pandora's,Box,,,,sativa
83,Poison Haze,sativa,Poison,Haze,,,,sativa
84,Purple Haze,sativa,Purple,Haze,,,,sativa
85,Q3,sativa,Q3,,,,,sativa
86,Qleaner,sativa,Qleaner,,,,,sativa
87,Rafael,sativa,Rafael,,,,,sativa
88,Red Congolese,sativa,Red,Congolese,,,,sativa
89,Red Haze,sativa,Red,Haze,,,,sativa
90,Rene,sativa,Rene,,,,,sativa
91,Root Beer Kush,sativa,Root,Beer,Kush,,,sativa
92,Sage N Sour,sativa,Sage,N,Sour,,,sativa
93,Shaman,sativa,Shaman,,,,,sativa
94,Shangri La OG,sativa,Shangri,La,OG,,,sativa
95,Shipwreck,sativa,Shipwreck,,,,,sativa
96,Silver Haze,sativa,Silver,Haze,,,,sativa
97,Skunk #1,sativa,Skunk,#1,,,,sativa
98,Sour Chocolate,sativa,Sour,Chocolate,,,,sativa
99,Sour Diesel,sativa,Sour,Diesel,,,,sativa
100,Sour Flower,sativa,Sour,Flower,,,,sativa
101,Sour Haze,sativa,Sour,Haze,,,,sativa
102,Sour Tangie,sativa,Sour,Tangie,,,,sativa
103,Strawberry,sativa,Strawberry,,,,,sativa
104,Sugar Plum,sativa,Sugar,Plum,,,,sativa
105,Super Cat Piss,sativa,Super,Cat,Piss,,,sativa
106,Super Green Crack,sativa,Super,Green,Crack,,,sativa
107,Super Silver Haze,sativa,Super,Silver,Haze,,,sativa
108,Super Snow Dog,sativa,Super,Snow,Dog,,,sativa
109,Super Sour Diesel,sativa,Super,Sour,Diesel,,,sativa
110,Sweet Diesel,sativa,Sweet,Diesel,,,,sativa
111,Tangie,sativa,Tangie,,,,,sativa
112,Thai,sativa,Thai,,,,,sativa
113,Thai Haze,sativa,Thai,Haze,,,,sativa
114,Timewreck,sativa,Timewreck,,,,,sativa
115,Triple Diesel,sativa,Triple,Diesel,,,,sativa
116,Twista,sativa,Twista,,,,,sativa
117,Ultimate Trainwreck,sativa,Ultimate,Trainwreck,,,,sativa
118,Venice OG,sativa,Venice,OG,,,,sativa
119,Very Berry Haze,sativa,Very,Berry,Haze,,,sativa
120,Voodoo,sativa,Voodoo,,,,,sativa
121,Vortex,sativa,Vortex,,,,,sativa
122,Waipi'o Hapa,sativa,Waipi'o,Hapa,,,,sativa
123,Willie Nelson,sativa,Willie,Nelson,,,,sativa
124,Willy Wonka,sativa,Willy,Wonka,,,,sativa
125,Y Griega,sativa,Y,Griega,,,,sativa
126,3X Crazy,indica,3X,Crazy,,,,indica
127,8 Ball Kush,indica,8,Ball,Kush,,,indica
128,A-10,indica,A-10,,,,,indica
129,Abusive OG,indica,Abusive,OG,,,,indica
130,Afghani,indica,Afghani,,,,,indica
131,Afghani Bullrider,indica,Afghani,Bullrider,,,,indica
132,Afghan Kush,indica,Afghan,Kush,,,,indica
133,Afghan Skunk,indica,Afghan,Skunk,,,,indica
134,Afgoo,indica,Afgoo,,,,,indica
135,Afgooey,indica,Afgooey,,,,,indica
136,Alien Dawg,indica,Alien,Dawg,,,,indica
137,Alien Kush,indica,Alien,Kush,,,,indica
138,Ancient OG,indica,Ancient,OG,,,,indica
139,Anesthesia,indica,Anesthesia,,,,,indica
140,Aurora Indica,indica,Aurora,Indica,,,,indica
141,Banana Candy,indica,Banana,Candy,,,,indica
142,Banana Kush,indica,Banana,Kush,,,,indica
143,Barbara Bud,indica,Barbara,Bud,,,,indica
144,Berry Noir,indica,Berry,Noir,,,,indica
145,Big Bud,indica,Big,Bud,,,,indica
146,Blackberry Hashplant,indica,Blackberry,Hashplant,,,,indica
147,Blackberry Kush,indica,Blackberry,Kush,,,,indica
148,Black Cherry Soda,indica,Black,Cherry,Soda,,,indica
149,Black Diamond,indica,Black,Diamond,,,,indica
150,Black Label Kush,indica,Black,Label,Kush,,,indica
151,Blackwater,indica,Blackwater,,,,,indica
152,Blueberry,indica,Blueberry,,,,,indica
153,Blueberry Kush,indica,Blueberry,Kush,,,,indica
154,Blueberry Waltz,indica,Blueberry,Waltz,,,,indica
155,Blue Cheese,indica,Blue,Cheese,,,,indica
156,Blue God,indica,Blue,God,,,,indica
157,Blue Moonshine,indica,Blue,Moonshine,,,,indica
158,Bubba Kush,indica,Bubba,Kush,,,,indica
159,Bubba OG,indica,Bubba,OG,,,,indica
160,Buddha's Sister,indica,Buddha's,Sister,,,,indica
161,Butterscotch,indica,Butterscotch,,,,,indica
162,Candy Cane,indica,Candy,Cane,,,,indica
163,Cactus,indica,Cactus,,,,,indica
164,Cadillac Purple,indica,Cadillac,Purple,,,,indica
165,Cheese Quake,indica,Cheese,Quake,,,,indica
166,Chem Scout,indica,Chem,Scout,,,,indica
167,Cherry Kola,indica,Cherry,Kola,,,,indica
168,Chocolate Chunk,indica,Chocolate,Chunk,,,,indica
169,Church OG,indica,Church,OG,,,,indica
170,Corleone Kush,indica,Corleone,Kush,,,,indica
171,Critical Mass,indica,Critical,Mass,,,,indica
172,Danky Doodle,indica,Danky,Doodle,,,,indica
173,Dark Star,indica,Dark,Star,,,,indica
174,Darth Vader OG,indica,Darth,Vader,OG,,,indica
175,Death Star,indica,Death,Star,,,,indica
176,Death Star OG,indica,Death,Star,OG,,,indica
177,Deep Purple,indica,Deep,Purple,,,,indica
178,Denver Maple,indica,Denver,Maple,,,,indica
179,Devil Fruit,indica,Devil,Fruit,,,,indica
180,Diablo,indica,Diablo,,,,,indica
181,Diamond OG,indica,Diamond,OG,,,,indica
182,Digweed,indica,Digweed,,,,,indica
183,DJ Short Blueberry,indica,DJ,Short,Blueberry,,,indica
184,Domino,indica,Domino,,,,,indica
185,Dynamite,indica,Dynamite,,,,,indica
186,Edelweiss,indica,Edelweiss,,,,,indica
187,El Jeffe,indica,El,Jeffe,,,,indica
188,Enigma,indica,Enigma,,,,,indica
189,Endless Sky,indica,Endless,Sky,,,,indica
190,Eran Almog,indica,Eran,Almog,,,,indica
191,Freezeland,indica,Freezeland,,,,,indica
192,Frosty,indica,Frosty,,,,,indica
193,Fucking Incredible,indica,Fucking,Incredible,,,,indica
194,Funky Monkey,indica,Funky,Monkey,,,,indica
195,G13,indica,G13,,,,,indica
196,Godberry,indica,Godberry,,,,,indica
197,God Bud,indica,God,Bud,,,,indica
198,Godfather OG,indica,Godfather,OG,,,,indica
199,God's Gift,indica,God's,Gift,,,,indica
200,Gog & Magog,indica,Gog,&,Magog,,,indica
201,Granddaddy Purple,indica,Granddaddy,Purple,,,,indica
202,Grand Hindu,indica,Grand,Hindu,,,,indica
203,Grape Ape,indica,Grape,Ape,,,,indica
204,Grape Crush,indica,Grape,Crush,,,,indica
205,Grape Skunk,indica,Grape,Skunk,,,,indica
206,Gravity,indica,Gravity,,,,,indica
207,"G Stik ""RED""",indica,G,Stik,"""RED""",,,indica
208,"G Stik ""Violeta""",indica,G,Stik,"""Violeta""",,,indica
209,Guido Kush,indica,Guido,Kush,,,,indica
210,Gumbo,indica,Gumbo,,,,,indica
211,Haoma,indica,Haoma,,,,,indica
212,Hashberry,indica,Hashberry,,,,,indica
213,Hash Plant,indica,Hash,Plant,,,,indica
214,Hawaiian Delight,indica,Hawaiian,Delight,,,,indica
215,Herojuana,indica,Herojuana,,,,,indica
216,Hindu Kush,indica,Hindu,Kush,,,,indica
217,Hog,indica,Hog,,,,,indica
218,Hog's Breath,indica,Hog's,Breath,,,,indica
219,Hollands Hope,indica,Hollands,Hope,,,,indica
220,Ingrid,indica,Ingrid,,,,,indica
221,Jagermeister,indica,Jagermeister,,,,,indica
222,Jesus OG,indica,Jesus,OG,,,,indica
223,JT15,indica,JT15,,,,,indica
224,Jupiter Kush,indica,Jupiter,Kush,,,,indica
225,Jupiter OG,indica,Jupiter,OG,,,,indica
226,K Train,indica,K,Train,,,,indica
227,Kandahar,indica,Kandahar,,,,,indica
228,King Kush,indica,King,Kush,,,,indica
229,King Louis,indica,King,Louis,,,,indica
230,Kosher Kush,indica,Kosher,Kush,,,,indica
231,Kryptonite,indica,Kryptonite,,,,,indica
232,Kushadelic,indica,Kushadelic,,,,,indica
233,Kush Berry,indica,Kush,Berry,,,,indica
234,LA OG,indica,LA,OG,,,,indica
235,Larry OG,indica,Larry,OG,,,,indica
236,Lavender Kush,indica,Lavender,Kush,,,,indica
237,Lemon OG,indica,Lemon,OG,,,,indica
238,Lions Gate,indica,Lions,Gate,,,,indica
239,Liquid Butter,indica,Liquid,Butter,,,,indica
240,Louis XIII,indica,Louis,XIII,,,,indica
241,Madagascar,indica,Madagascar,,,,,indica
242,Mango,indica,Mango,,,,,indica
243,Maple Leaf Indica,indica,Maple,Leaf,Indica,,,indica
244,Mars OG,indica,Mars,OG,,,,indica
245,Master Bubba,indica,Master,Bubba,,,,indica
246,Master Jedi,indica,Master,Jedi,,,,indica
247,Master Kush,indica,Master,Kush,,,,indica
248,Matsu,indica,Matsu,,,,,indica
249,Mazar I Sharif,indica,Mazar,I,Sharif,,,indica
250,Mercury OG,indica,Mercury,OG,,,,indica
251,Misty Kush,indica,Misty,Kush,,,,indica
252,MK Ultra,indica,MK,Ultra,,,,indica
253,Mossimo OG,indica,Mossimo,OG,,,,indica
254,Mr. Nice,indica,Mr.,Nice,,,,indica
255,Negra 44,indica,Negra,44,,,,indica
256,Neptune Kush,indica,Neptune,Kush,,,,indica
257,Neptune OG,indica,Neptune,OG,,,,indica
258,Nordle,indica,Nordle,,,,,indica
259,Northern Lights,indica,Northern,Lights,,,,indica
260,Nuggetry OG,indica,Nuggetry,OG,,,,indica
261,Obama Kush,indica,Obama,Kush,,,,indica
262,OG Eddy Lepp,indica,OG,Eddy,Lepp,,,indica
263,Paris OG,indica,Paris,OG,,,,indica
264,Pennywise,indica,Pennywise,,,,,indica
265,Pineapple Thai,indica,Pineapple,Thai,,,,indica
266,Pitbull,indica,Pitbull,,,,,indica
267,Platinum Bubba,indica,Platinum,Bubba,,,,indica
268,Platinum Bubba Kush,indica,Platinum,Bubba,Kush,,,indica
269,Platinum Kush,indica,Platinum,Kush,,,,indica
270,Platinum OG,indica,Platinum,OG,,,,indica
271,Platinum Purple Kush,indica,Platinum,Purple,Kush,,,indica
272,Plushberry,indica,Plushberry,,,,,indica
273,Pluto Kush,indica,Pluto,Kush,,,,indica
274,Popcorn Kush,indica,Popcorn,Kush,,,,indica
275,Pot of Gold,indica,Pot,of,Gold,,,indica
276,Power Kush,indica,Power,Kush,,,,indica
277,Presidential OG,indica,Presidential,OG,,,,indica
278,Pure Kush,indica,Pure,Kush,,,,indica
279,Pure OG,indica,Pure,OG,,,,indica
280,Purple Afghani,indica,Purple,Afghani,,,,indica
281,Purple Berry,indica,Purple,Berry,,,,indica
282,Purple Candy,indica,Purple,Candy,,,,indica
283,Purple Cream,indica,Purple,Cream,,,,indica
284,Purple Dragon,indica,Purple,Dragon,,,,indica
285,Purple Goo,indica,Purple,Goo,,,,indica
286,Purple Kush,indica,Purple,Kush,,,,indica
287,Purple Mr. Nice,indica,Purple,Mr.,Nice,,,indica
288,Purple Nepal,indica,Purple,Nepal,,,,indica
289,Purple OG Kush,indica,Purple,OG,Kush,,,indica
290,Purple Passion,indica,Purple,Passion,,,,indica
291,Purple Tonic,indica,Purple,Tonic,,,,indica
292,Purple Urkle,indica,Purple,Urkle,,,,indica
293,Purple Wreck,indica,Purple,Wreck,,,,indica
294,Pre-98 Bubba Kush,indica,Pre-98,Bubba,Kush,,,indica
295,PVC OG,indica,PVC,OG,,,,indica
296,Raspberry Kush,indica,Raspberry,Kush,,,,indica
297,Red Dwarf,indica,Red,Dwarf,,,,indica
298,Red Eye OG,indica,Red,Eye,OG,,,indica
299,Redwood Kush,indica,Redwood,Kush,,,,indica
300,Remedy,indica,Remedy,,,,,indica
301,Rockstar,indica,Rockstar,,,,,indica
302,Rockstar Master Kush,indica,Rockstar,Master,Kush,,,indica
303,Romulan,indica,Romulan,,,,,indica
304,Seattle Blue,indica,Seattle,Blue,,,,indica
305,Sensi Star,indica,Sensi,Star,,,,indica
306,Shark Shock,indica,Shark,Shock,,,,indica
307,Silverback Gorilla,indica,Silverback,Gorilla,,,,indica
308,Skywalker,indica,Skywalker,,,,,indica
309,Snow Monster,indica,Snow,Monster,,,,indica
310,Somango,indica,Somango,,,,,indica
311,South Central LA,indica,South,Central,LA,,,indica
312,Space Dawg,indica,Space,Dawg,,,,indica
313,Strawberry Kush,indica,Strawberry,Kush,,,,indica
314,Sunshine Daydream,indica,Sunshine,Daydream,,,,indica
315,Super Kush,indica,Super,Kush,,,,indica
316,Superman OG,indica,Superman,OG,,,,indica
317,Super Skunk,indica,Super,Skunk,,,,indica
318,Tahoe OG,indica,Tahoe,OG,,,,indica
319,Taliban Poison,indica,Taliban,Poison,,,,indica
320,Tangerine Kush,indica,Tangerine,Kush,,,,indica
321,True OG,indica,True,OG,,,,indica
322,UW,indica,UW,,,,,indica
323,Vanilla Kush,indica,Vanilla,Kush,,,,indica
324,Violator Kush,indica,Violator,Kush,,,,indica
325,White Kush,indica,White,Kush,,,,indica
326,White OG,indica,White,OG,,,,indica
327,Wonder Woman OG,indica,Wonder,Woman,OG,,,indica
328,Woody Kush,indica,Woody,Kush,,,,indica
329,XXX 420,indica,XXX,420,,,,indica
330,XXX OG,indica,XXX,OG,,,,indica
331,Yoda OG,indica,Yoda,OG,,,,indica
332,Yumboldt,indica,Yumboldt,,,,,indica
333,Zombie OG,indica,Zombie,OG,,,,indica
334,ACDC,hybrid,ACDC,,,,,sativa-hybrid
335,Afwreck,hybrid,Afwreck,,,,,sativa-hybrid
336,Alaska,hybrid,Alaska,,,,,sativa-hybrid
337,Avi-Dekel,hybrid,Avi-Dekel,,,,,sativa-hybrid
338,Banana Diesel,hybrid,Banana,Diesel,,,,sativa-hybrid
339,Belladonna,hybrid,Belladonna,,,,,sativa-hybrid
340,Blue Champagne,hybrid,Blue,Champagne,,,,sativa-hybrid
341,Blue Diamond,hybrid,Blue,Diamond,,,,sativa-hybrid
342,Blue Dream,hybrid,Blue,Dream,,,,sativa-hybrid
343,Blue Goo,hybrid,Blue,Goo,,,,sativa-hybrid
344,Blue Haze,hybrid,Blue,Haze,,,,sativa-hybrid
345,Candyland,hybrid,Candyland,,,,,sativa-hybrid
346,Cinderella 99,hybrid,Cinderella,99,,,,sativa-hybrid
347,Double Dream,hybrid,Double,Dream,,,,sativa-hybrid
348,Dream Star,hybrid,Dream,Star,,,,sativa-hybrid
349,Duke Nukem,hybrid,Duke,Nukem,,,,sativa-hybrid
350,Fruit Spirit,hybrid,Fruit,Spirit,,,,sativa-hybrid
351,Glass Slipper,hybrid,Glass,Slipper,,,,sativa-hybrid
352,Green Dream,hybrid,Green,Dream,,,,sativa-hybrid
353,Hashplant Haze,hybrid,Hashplant,Haze,,,,sativa-hybrid
354,Hawaiian Fire,hybrid,Hawaiian,Fire,,,,sativa-hybrid
355,Hawaiian Skunk,hybrid,Hawaiian,Skunk,,,,sativa-hybrid
356,Headbanger,hybrid,Headbanger,,,,,sativa-hybrid
357,Head Cheese,hybrid,Head,Cheese,,,,sativa-hybrid
358,Hippie Crippler,hybrid,Hippie,Crippler,,,,sativa-hybrid
359,Hong Kong,hybrid,Hong,Kong,,,,sativa-hybrid
360,Huckleberry,hybrid,Huckleberry,,,,,sativa-hybrid
361,Humboldt,hybrid,Humboldt,,,,,sativa-hybrid
362,J1,hybrid,J1,,,,,sativa-hybrid
363,Jack Haze,hybrid,Jack,Haze,,,,sativa-hybrid
364,Jack's Cleaner,hybrid,Jack's,Cleaner,,,,sativa-hybrid
365,Jack Widow,hybrid,Jack,Widow,,,,sativa-hybrid
366,Jane Doe,hybrid,Jane,Doe,,,,sativa-hybrid
367,Juliet,hybrid,Juliet,,,,,sativa-hybrid
368,K1,hybrid,K1,,,,,sativa-hybrid
369,Lemon Kush,hybrid,Lemon,Kush,,,,sativa-hybrid
370,Lemon Wreck,hybrid,Lemon,Wreck,,,,sativa-hybrid
371,Lethal Purple,hybrid,Lethal,Purple,,,,sativa-hybrid
372,Loud Dream,hybrid,Loud,Dream,,,,sativa-hybrid
373,Midnight,hybrid,Midnight,,,,,sativa-hybrid
374,Mob Boss,hybrid,Mob,Boss,,,,sativa-hybrid
375,NYC Diesel,hybrid,NYC,Diesel,,,,sativa-hybrid
376,OG Wreck,hybrid,OG,Wreck,,,,sativa-hybrid
377,Orange Dream,hybrid,Orange,Dream,,,,sativa-hybrid
378,Orange Haze,hybrid,Orange,Haze,,,,sativa-hybrid
379,Pineapple Diesel,hybrid,Pineapple,Diesel,,,,sativa-hybrid
380,Power Plant,hybrid,Power,Plant,,,,sativa-hybrid
381,Pure Power Plant,hybrid,Pure,Power,Plant,,,sativa-hybrid
382,Purple Ice,hybrid,Purple,Ice,,,,sativa-hybrid
383,Sapphire Star,hybrid,Sapphire,Star,,,,sativa-hybrid
384,Silver Pearl,hybrid,Silver,Pearl,,,,sativa-hybrid
385,Silver Surfer,hybrid,Silver,Surfer,,,,sativa-hybrid
386,Smelliot,hybrid,Smelliot,,,,,sativa-hybrid
387,Snowcap,hybrid,Snowcap,,,,,sativa-hybrid
388,Sour Cream,hybrid,Sour,Cream,,,,sativa-hybrid
389,Sour Lemon OG,hybrid,Sour,Lemon,OG,,,sativa-hybrid
390,Sour Power,hybrid,Sour,Power,,,,sativa-hybrid
391,Sour Tsunami,hybrid,Sour,Tsunami,,,,sativa-hybrid
392,Stevie Wonder,hybrid,Stevie,Wonder,,,,sativa-hybrid
393,Strawberry Cough,hybrid,Strawberry,Cough,,,,sativa-hybrid
